row_key,agbd_mu,clim_pr,clim_tmmx,clim_aet
106,,101.8125,19.220833333333335,771.7708333333334
107,,101.8125,19.220833333333335,771.7708333333334
108,,102.75,18.866666666666667,768.7291666666666
109,,102.75,18.866666666666667,768.7291666666666
110,,102.75,18.866666666666667,768.7291666666666
111,,102.75,18.866666666666667,768.7291666666666
112,269.377197265625,102.75,18.866666666666667,768.7291666666666
113,269.377197265625,102.75,18.866666666666667,768.7291666666666
114,314.6495666503906,102.75,18.866666666666667,768.7291666666666
115,,102.35416666666667,19.15,770.6666666666666
116,,102.35416666666667,19.15,770.6666666666666
117,,101.8125,19.220833333333335,771.7708333333334
118,,101.8125,19.220833333333335,771.7708333333334
119,,101.8125,19.220833333333335,771.7708333333334
120,,101.8125,19.220833333333335,771.7708333333334
121,,101.8125,19.220833333333335,771.7708333333334
122,,101.8125,19.220833333333335,771.7708333333334
123,,102.75,18.866666666666667,768.7291666666666
124,,102.75,18.866666666666667,768.7291666666666
125,,102.75,18.866666666666667,768.7291666666666
126,,102.75,18.866666666666667,768.7291666666666
127,269.377197265625,102.75,18.866666666666667,768.7291666666666
128,269.377197265625,102.75,18.866666666666667,768.7291666666666
129,314.6495666503906,102.75,18.866666666666667,768.7291666666666
130,,102.35416666666667,19.15,770.6666666666666
131,,101.8125,19.220833333333335,771.7708333333334
132,,101.8125,19.220833333333335,771.7708333333334
133,,101.8125,19.220833333333335,771.7708333333334
134,,101.8125,19.220833333333335,771.7708333333334
135,,102.75,18.866666666666667,768.7291666666666
136,,102.75,18.866666666666667,768.7291666666666
137,,102.75,18.866666666666667,768.7291666666666
138,487.44964599609375,102.75,18.866666666666667,768.7291666666666
139,487.44964599609375,102.75,18.866666666666667,768.7291666666666
140,311.226318359375,102.75,18.866666666666667,768.7291666666666
141,,102.35416666666667,19.15,770.6666666666666
142,,101.8125,19.220833333333335,771.7708333333334
143,,101.8125,19.220833333333335,771.7708333333334
144,,101.8125,19.220833333333335,771.7708333333334
145,,101.8125,19.220833333333335,771.7708333333334
146,,102.75,18.866666666666667,768.7291666666666
147,,102.75,18.866666666666667,768.7291666666666
148,,102.75,18.866666666666667,768.7291666666666
149,,102.75,18.866666666666667,768.7291666666666
150,487.44964599609375,102.75,18.866666666666667,768.7291666666666
151,487.44964599609375,102.75,18.866666666666667,768.7291666666666
152,311.226318359375,102.75,18.866666666666667,768.7291666666666
153,,102.35416666666667,19.15,770.6666666666666
154,,102.35416666666667,19.15,770.6666666666666
155,,101.8125,19.220833333333335,771.7708333333334
156,,101.8125,19.220833333333335,771.7708333333334
157,,101.8125,19.220833333333335,771.7708333333334
158,,101.8125,19.220833333333335,771.7708333333334
159,,101.8125,19.220833333333335,771.7708333333334
160,,101.8125,19.220833333333335,771.7708333333334
161,520.7814331054688,102.75,18.866666666666667,768.7291666666666
162,520.7814331054688,102.75,18.866666666666667,768.7291666666666
163,404.1302185058594,102.75,18.866666666666667,768.7291666666666
164,404.1302185058594,102.75,18.866666666666667,768.7291666666666
165,262.9866943359375,102.75,18.866666666666667,768.7291666666666
166,262.9866943359375,102.75,18.866666666666667,768.7291666666666
167,172.13294982910156,102.75,18.866666666666667,768.7291666666666
168,172.13294982910156,103.29166666666667,18.66875,767.75
169,,102.35416666666667,19.15,770.6666666666666
170,,101.8125,19.220833333333335,771.7708333333334
171,,101.8125,19.220833333333335,771.7708333333334
172,,101.8125,19.220833333333335,771.7708333333334
173,,101.8125,19.220833333333335,771.7708333333334
174,,101.8125,19.220833333333335,771.7708333333334
175,520.7814331054688,102.75,18.866666666666667,768.7291666666666
176,520.7814331054688,102.75,18.866666666666667,768.7291666666666
177,404.1302185058594,102.75,18.866666666666667,768.7291666666666
178,404.1302185058594,102.75,18.866666666666667,768.7291666666666
179,262.9866943359375,102.75,18.866666666666667,768.7291666666666
180,262.9866943359375,102.75,18.866666666666667,768.7291666666666
181,172.13294982910156,102.75,18.866666666666667,768.7291666666666
182,247.06565856933594,103.29166666666667,18.66875,767.75
183,,102.35416666666667,19.15,770.6666666666666
184,,101.8125,19.220833333333335,771.7708333333334
