row_key,hh_point,hv_point,hh_gauss,hv_gauss,hh_boxcar,hv_boxcar
3999,-7.42540152007777,-10.282286294374543,-7.309156048586019,-11.933234496899022,-7.343254298028588,-12.794504069339059
4000,-10.132920760462738,-19.266522650005093,-9.553703317479371,-15.550959832006859,-8.87563459535454,-14.489317757585084
4001,-3.3972044450849097,-7.571190267201757,-5.120501341032743,-10.469835548239224,-5.516251243888716,-11.247981860293628
4002,-5.430713093170624,-13.54194696392672,-5.3778742055701105,-12.062243826485947,-5.447514313731805,-11.108313790121787
4003,-6.99941281511731,-8.684945663542806,-5.33535824226667,-10.476945765198021,-5.416848499032485,-10.437222916118868
4004,-6.17531408987918,-10.683102342505947,-5.139297156854591,-11.542022559724463,-4.250923850145734,-11.669072899087682
4005,-4.369825562667643,-11.893273440094674,-3.9689187656825373,-10.616603674749028,-5.141237668363806,-10.588667937066395
4006,-8.165940320845209,-13.58885029565451,-7.304348482072462,-13.51704503491027,-7.509222056381724,-12.951020940886096
4007,-7.538906132714743,-13.376882583439297,-7.114365531263484,-12.385374189491001,-7.3307140525569565,-12.519868144182563
4008,-4.833517214476416,-9.090366470196045,-5.233357024315632,-9.982254517147753,-5.091682044285227,-10.444327212726519
4009,-4.491695258315076,-9.72221402754677,-5.420666848809926,-11.371093695390845,-5.195926278582729,-11.71880385303664
4010,-8.2880220060364,-14.084803270227383,-7.214065820525416,-13.982217300866319,-7.19449990273114,-13.490959775550817
4011,-5.399743232664562,-8.240253473331379,-4.151635554023732,-8.778736656133487,-3.6542540383174797,-9.187555374628706
4012,-5.46871572032309,-8.767229235353014,-4.387834797121671,-10.597591655814671,-4.72371467390362,-10.723539876453945
4013,-7.735933992584563,-13.979630956890844,-9.113707234492232,-15.21370604979316,-8.86461050543366,-15.111114104509495
4014,-5.910235499111394,-9.773213199879194,-5.596924583214127,-10.615213670795397,-5.167777118489458,-10.812752893515055
4015,-4.6846186803263095,-13.086338647661691,-4.597872049062434,-11.1253690263321,-4.578002646954942,-10.708161288652319
4016,-2.37991437272926,-12.056817573451653,-4.161076218711936,-11.494506252984378,-5.151075780469122,-10.531267660809922
4017,-12.208442333093828,-12.786419379355806,-8.812539178251896,-12.775669851344924,-8.193234873027455,-12.5295692122333
4018,-8.708375823209366,-10.960971917329573,-7.723382662033008,-12.075117530108939,-7.526456986054106,-13.19606662412514
4019,-7.167590346143712,-12.118639112994487,-5.919089867268968,-11.581264447580121,-5.631309281114147,-11.23316478152872
4020,-4.097524597557609,-9.382416511463774,-4.480410947054301,-9.807429918757004,-4.191561247461592,-9.623384383953631
4021,-3.4987200780952747,-7.709005618710648,-3.880434879983151,-8.519606642011542,-4.233865073347844,-8.861041418616026
4022,-1.4134802649437006,-11.910216799923617,-3.78676254148087,-11.496955968431678,-4.980690022060747,-11.577566193095127
4023,-7.283441600082682,-11.929621197020609,-6.1523586801737755,-11.210924421916442,-5.678115608765551,-11.282919248129863
4024,-7.945206121293438,-13.33967159711736,-6.503624268798471,-11.658287584421307,-5.565837073081348,-10.853322124446576
4025,-3.0697665569164343,-10.543290409569593,-3.8985902484315655,-9.547444616262442,-4.725342716152578,-9.92313547671793
4026,-5.007966817077559,-10.576474364499305,-4.598229824565269,-10.20676750575956,-4.483312680721686,-9.751015322419734
4027,-4.194652171079753,-9.966687921541293,-4.893196305734771,-10.546749757743099,-5.251197014843459,-10.88516497733776
4028,-6.319219636810672,-10.778285331702548,-6.301910768306244,-10.53698284395594,-6.065688107936681,-10.565378340460551
4029,-5.130313075630269,-9.455163081066914,-7.200542235383962,-10.48472032435317,-7.317629066016374,-10.86685505085345
4030,-3.7025558272444954,-11.751763341005457,-4.481332676151067,-11.803853046426196,-5.075747387742201,-11.227425490125178
4031,-7.574131147418811,-12.457717767203903,-6.440082979896446,-11.175737610730936,-6.026326631837962,-10.872095375739297
4032,-5.838885638992707,-10.234209291714862,-5.367901089930672,-11.339023191380615,-5.4621895020183,-11.371095552012827
4033,-4.930603429856589,-9.242289503025887,-5.699019078851078,-10.284090216431649,-6.19011010310782,-10.597527073723247
